视频内弹幕出现时间,弹幕类型,弹幕字号,弹幕颜色,弹幕发送时间,弹幕池类型,发送者UID的HASH,弹幕dmID,弹幕内容
142.268,普通弹幕,中,白,1509379021,0,330026ec,2907003350941696,你指尖
121.77,普通弹幕,中,白,1509378993,0,5d010020,2907003349893120,越听越像兔美
1102.28,普通弹幕,中,白,1509378250,0,db6f7ec4,2907003348844544,炮姐是不可能露胖次的
1057.961,普通弹幕,中,蓝,1509377983,0,a84bb698,2907003347271680,粘花惹草
552.914,普通弹幕,中,蓝,1509377386,0,a84bb698,2907003346223104,佐天=基德
510.214,普通弹幕,中,蓝,1509377369,0,a84bb698,2907003344125952,不够胸/凶
369.874,普通弹幕,中,白,1509377193,0,a84bb698,2907003341504512,久闻片头 前来补番
495.054,普通弹幕,中,蓝,1509377118,0,a84bb698,2907003343601664,家花不如野花香……
76.2,普通弹幕,中,白,1509376082,0,bf719fbb,2907003333115904,膜拜炮姐
1246.095,普通弹幕,中,白,1509375724,0,fe55447c,2907003331543040,活着不好吗
1250.175,普通弹幕,中,棕,1509374988,0,8f52ac3a,2907003328397312,活着不好吗
638.22,普通弹幕,中,棕,1509374910,0,8f52ac3a,2907003326824448,辣妹儿
621.942,普通弹幕,中,棕,1509374889,0,8f52ac3a,2907003325775872,花是本体因为生不了，所以无限搞
1242.025,普通弹幕,中,棕,1509374749,0,8f52ac3a,2907003327873024,活着不好吗
9.781,普通弹幕,中,白,1509373950,0,4eb23b78,2907003324727296,国语版吓回来
160.579,普通弹幕,中,白,1509373696,0,bbc2c39e,2907003321581568,看不到我
381.806,普通弹幕,中,白,1509373678,0,3a2e9119,2907003320532992,虎？
1457.355,普通弹幕,小,红,1509373324,0,34239b30,2907003318435840,哇，什么东西
463.989,普通弹幕,中,红,1509372217,0,34239b30,2907003316862976,快，炮姐暗示了，投币，投币！
174.843,普通弹幕,中,白,1509371584,0,c56ab291,2907003311620096,等一下，这我好像在哪听过.........
