视频内弹幕出现时间,弹幕类型,弹幕字号,弹幕颜色,弹幕发送时间,弹幕池类型,发送者UID的HASH,弹幕dmID,弹幕内容
1010.653,普通弹幕,中,白,1579967159,0,f98e3341,27695505295802368,ハハハハ
783.425,普通弹幕,中,黄,1579966685,0,3a5fc367,27695256872943616,局势大好
522.005,底部弹幕,中,红,1579965586,0,6ede2ad0,27694680761696256,无路赛！
747.134,底部弹幕,中,白,1579965201,0,80856d7f,27694478954332164,众所周知，圣……不好意思走错了
1068.499,普通弹幕,中,白,1579965052,0,11dc480d,27694400583761924,。。。。
508.211,普通弹幕,中,黄,1579964608,0,825fef07,27694168013799428,妹妹说的对
505.331,普通弹幕,中,黄,1579964599,0,825fef07,27694163556827136,妹妹说的对
10.503,普通弹幕,中,白,1579964518,0,7ecddd83,27694120631271428,为什么收费呢
1128.338,底部弹幕,中,白,1579964273,0,fb34f80a,27693992455962624,想到蝎了 莫名泪目
1319.536,普通弹幕,中,白,1579963743,0,e02bf98c,27693714613207042,上一个无敌的已经停止思考了
3.42,普通弹幕,中,红,1579963725,0,78ba3b2,27693704913354752,哎呀呀
1401.177,普通弹幕,中,白,1579963620,0,664d675b,27693650106384384,局势大号
1177.516,普通弹幕,中,白,1579963563,0,e02bf98c,27693620214628352,"yes, i  am "
1121.956,普通弹幕,中,白,1579963495,0,e02bf98c,27693584490168322,三兄贵
801.015,普通弹幕,中,白,1579963482,0,7a04f9b3,27693577771417604,路人亮了
1080.976,普通弹幕,中,白,1579963444,0,e02bf98c,27693557567455232,killer  queen 
1039.006,普通弹幕,中,白,1579963258,0,664d675b,27693460168900612,日本人超爱吃纳豆
705.008,普通弹幕,中,白,1579963055,0,e02bf98c,27693353629908992,腮红指导，龙舌兰姑娘
1129.003,普通弹幕,中,白,1579962883,0,958ce0ef,27693263835627520,蝎沦落到这个地步了？
696.002,普通弹幕,中,白,1579962872,0,b94a346e,27693258007117824,西葛西是什么意思呀
1131.285,普通弹幕,中,白,1579962797,0,61697bcb,27693218630991872,这蝎是吃胖了吗？
1170.362,底部弹幕,中,黄,1579962626,0,47e6cacc,27693128903819264,忍术
370.546,普通弹幕,中,白,1579962463,0,664d675b,27693043573325824,这是什么检测
1059.402,底部弹幕,中,黄,1579962453,0,47e6cacc,27693038173159424,沾花惹草？
49.686,普通弹幕,中,白,1579962433,0,e02bf98c,27693027684253698,杜王町
253.989,普通弹幕,中,白,1579962342,0,664d675b,27692979801554944,这声优
225.069,普通弹幕,中,白,1579962313,0,664d675b,27692964653826052,当年的JC\
869.671,底部弹幕,中,白,1579962312,0,75aad196,27692964164665344,Do you like VAN 游戏？
164.506,普通弹幕,中,白,1579962252,0,664d675b,27692932901896194,原来是这op
109.504,普通弹幕,中,白,1579962197,0,664d675b,27692903841136640,贝蒂？
568.772,普通弹幕,中,白,1579962176,0,200579f8,27692892954820608,好啊好啊
26.499,底部弹幕,中,白,1579961961,0,79e25131,27692780021088260,快跑啊，别回头
620.893,普通弹幕,中,黑,1579961952,0,a88f3ce4,27692775692566530,局势大好
289.528,底部弹幕,中,白,1579961738,0,75aad196,27692663528488962,平角裤  平角裤！
