视频内弹幕出现时间,弹幕类型,弹幕字号,弹幕颜色,弹幕发送时间,弹幕池类型,发送者UID的HASH,弹幕dmID,弹幕内容
199.261,底部弹幕,中,黄,1584114952,0,1ae152f1,29870143685787655,停更的带我一个！
380.75,底部弹幕,中,红,1584114707,0,c8a4302c,29870015349522437,光子我的
403.292,普通弹幕,中,白,1584114649,0,ca90015f,29869984678150149,一方大爷瑟瑟发抖
1158.318,普通弹幕,中,蓝,1584114481,0,61cb8cab,29869896342962179,可怜泪子
1328.165,普通弹幕,中,白,1584114439,0,48a3c147,29869874851872773,这番没有狙击手吗！！！
1317.198,普通弹幕,中,白,1584114307,0,9b45b1fa,29869805191823363,拆   迁   队
885.963,普通弹幕,中,蓝,1584114288,0,61cb8cab,29869795280683011,在泻空回线画萝拉的本子.会被打死吗
1253.494,普通弹幕,中,白,1584114208,0,b60216c5,29869753656410117,同志，大伊万
905.589,普通弹幕,中,绿,1584114179,0,86f5e9fe,29869738402775047,塞班那个是个狼人
61.038,普通弹幕,中,白,1584114174,0,c8a4302c,29869735625621509,众所周知，学园都市是最安全的地方
1188.942,普通弹幕,中,白,1584114172,0,9b45b1fa,29869734418710533,技术指导：这就是你分手的借口
949.767,普通弹幕,中,白,1584113896,0,b60216c5,29869590155624455,动作指导王境泽
692.945,普通弹幕,中,白,1584113722,0,48a3c147,29869498563035143,大小姐？
589.085,普通弹幕,中,白,1584113614,0,48a3c147,29869441927348229,这番狙击手废了
676.812,普通弹幕,中,白,1584113582,0,aa1eea63,29869425360896003,呀呼
1407.899,普通弹幕,中,白,1584113566,0,2ee64d97,29869416713814019,Lvl
477.025,普通弹幕,中,白,1584113483,0,48a3c147,29869373615243271,让我死这里
467.285,普通弹幕,中,白,1584113468,0,48a3c147,29869365749874695,让我死在这里
384.185,普通弹幕,中,白,1584113378,0,48a3c147,29869318643646469,好大哦
236.446,底部弹幕,中,红,1584113303,0,4de21595,29869278941937669,op一抖，小手没有
274.305,普通弹幕,中,白,1584113238,0,48a3c147,29869244697542661,补一千岁的番
575.017,普通弹幕,中,白,1584113204,0,391d4463,29869227317919747,布鲁克在哪
119.228,普通弹幕,中,白,1584113143,0,48a3c147,29869195183259651,白嫖
233.874,底部弹幕,中,红,1584113130,0,517a81ea,29869188378525699,我还是抖了
