视频内弹幕出现时间,弹幕类型,弹幕字号,弹幕颜色,弹幕发送时间,弹幕池类型,发送者UID的HASH,弹幕dmID,弹幕内容
665.826,普通弹幕,中,白,1507132748,0,9b695006,2906977289109504,说hop好听的给我等着。。我tm信了你的邪。。。
610.116,普通弹幕,中,白,1507131726,0,766ec20d,2906977285439488,希灵帝国风暴指挥官那个过来哈哈哈
749.081,普通弹幕,中,粉,1507131406,0,91524640,2906977283342336,贝蒂＋1
689.97,普通弹幕,中,白,1507131382,0,ee02c577,2906977282293760,当麻爆打一方通行
269.979,普通弹幕,中,白,1507131087,0,65002463,2906977281245184,17/10/4号
240.147,普通弹幕,中,白,1507130885,0,ee02c577,2906977280196608,当麻大佬
264.678,普通弹幕,中,白,1507130430,0,7592c24,2906977277575168,17/10/04
248.119,普通弹幕,中,白,1507130390,0,7592c24,2906977276526592,上条势力标准提包
8.318,普通弹幕,中,白,1507129938,0,63cad5af,2906977272856576,恭喜你发现神作
45.467,普通弹幕,中,红,1507129871,0,15abe264,2906977271808000,久仰大名
28.521,普通弹幕,中,白,1507129815,0,bad66442,2906977270759424,活着不好吗？
685.174,普通弹幕,中,蓝,1507129562,0,6f778e34,2906977264992256,最强的是天外来客(希灵帝国)滑稽
942.677,普通弹幕,中,白,1507129444,0,f7eae305,2906977258176512,呱呱呱
28.6,普通弹幕,中,白,1507129360,0,42617b90,2906977249787904,叶雨娟个小撒子
93.943,普通弹幕,中,白,1507129105,0,342ba4bb,2906977248215040,久仰大名前来补番
1195.043,普通弹幕,中,白,1507129042,0,e554248f,2906977247166464,冰魄银针
760.325,普通弹幕,中,白,1507128820,0,6a13a71b,2906977245593600,Dang Dang Dang ....
550.911,普通弹幕,中,白,1507128627,0,3f21875f,2906977243496448,一共有两个lv6瓜太，泪爷
180.414,普通弹幕,中,蓝,1507128609,0,f2770f2c,2906977242447872,哈哈哈哈
887.485,普通弹幕,中,白,1507128595,0,2dd71ee2,2906977240875008,斗宗强者竟恐怖。。。不好意思走错了
746.388,普通弹幕,中,白,1507128575,0,7f3fe326,2906977239826432,贝蒂
138.792,普通弹幕,中,白,1507128560,0,f2770f2c,2906977238777856,前方高能哦
324.6,普通弹幕,中,白,1507128540,0,4d0faf99,2906977241923584,公园前250年
530.591,普通弹幕,中,蓝,1507128536,0,6a13a71b,2906977237205056,NICE!
19.622,普通弹幕,中,白,1507128334,0,f8ea43d0,2906977234583552,久闻大名   特来观看
676.515,普通弹幕,中,白,1507128189,0,7927823c,2906977230913536,说唯一一个人格正常的的知不知道食蜂
155.291,普通弹幕,中,白,1507128043,0,fa907356,2906977226719232,这么皮？
30.119,普通弹幕,中,白,1507128038,0,6a13a71b,2906977227767808,NICE
553.806,普通弹幕,中,白,1507127963,0,7927823c,2906977225670656,只露了一对，女主有喜欢的男生了
1250.827,普通弹幕,中,白,1507127827,0,7dab0c7a,2906977224622080,活着不好吗
174.563,普通弹幕,中,白,1507127826,0,ee90845,2906977222524928,炮姐！！！
93.901,普通弹幕,中,白,1507127791,0,9bcfefd8,2906977220952064,老婆上线了啊
923.448,普通弹幕,中,红,1507127760,0,2ef67557,2906977219903488,那个五环之    恩，不好意思走错了
20.916,普通弹幕,中,白,1507127548,0,ee90845,2906977216233472,女，雷电法王
958.026,普通弹幕,中,红,1507127528,0,dc64552b,2906977215184896,左下角吉田夏娜！！！！！
958.026,普通弹幕,中,红,1507127524,0,dc64552b,2906977214136320,左下角吉田夏娜！！！！！
958.026,普通弹幕,中,红,1507127519,0,dc64552b,2906977212563456,左下角吉田夏娜！！！！！
944.242,普通弹幕,中,白,1507127514,0,7dab0c7a,2906977211514880,GG
1381.285,普通弹幕,中,白,1507127307,0,c5a77d7d,2906977210466304,可以穿
864.293,普通弹幕,中,白,1507127214,0,f7cf07ed,2906977208369152,与其约会，使其娇羞
168.142,普通弹幕,中,白,1507127192,0,8cccf0a9,2906977207320576,看不到我，看不到我
