视频内弹幕出现时间,弹幕类型,弹幕字号,弹幕颜色,弹幕发送时间,弹幕池类型,发送者UID的HASH,弹幕dmID,弹幕内容
472.405,普通弹幕,中,白,1546012650,0,ecf8892a,9893563911372800,对A
732.949,底部弹幕,中,粉,1546009749,0,5952bd77,9892042984390658,其实黑子才是真的大小姐啊，就是性格太变态了
1501.548,普通弹幕,中,白,1546009608,0,5c50aadf,9891969155203072,展开你妹啊
360.149,底部弹幕,中,粉,1546009451,0,5952bd77,9891886623358976,应该不是她扔的（一个空间移动能力者测什么力气啊）
1273.296,普通弹幕,中,白,1546009418,0,5c50aadf,9891869524754434,快跑
221.311,底部弹幕,中,红,1546009097,0,8fa1ba46,9891701017018368,君の指先が躍る炎は唯一の信仰であり超電磁炮を永遠に生きている
212.244,底部弹幕,中,红,1546009076,0,8fa1ba46,9891690138566656,君の指先が躍る炎は唯一の信仰であり超電磁炮を永遠に生きている
208.276,底部弹幕,中,红,1546009067,0,8fa1ba46,9891685189287936,君の指先が躍る炎は唯一の信仰であり超電磁炮を永遠に生きている
638.308,普通弹幕,中,白,1546008635,0,5c50aadf,9891458719416320,辣妹儿~
485.46,普通弹幕,中,白,1546008431,0,5c50aadf,9891352120131584,摄晚凡桌
272.78,普通弹幕,中,白,1546008185,0,5c50aadf,9891223125360640,快跑
270.997,普通弹幕,中,白,1546007264,0,b17b4f29,9890740039581696,饮料机快跑
597.392,普通弹幕,中,白,1546007080,0,45bddfe5,9890643750944768,魔禁SP:这花是人造花
203.14,普通弹幕,中,白,1546006765,0,394244ea,9890478218018816,信仰に、唯私の超電磁砲永世生き
699.42,普通弹幕,中,白,1546005679,0,279ba23,9889908880572416,。。
1466.112,普通弹幕,中,白,1546005098,0,c7b21764,9889604546592770,大橘已定
5.494,普通弹幕,中,白,1546004373,0,5469eb3a,9889224216018944,团子/墨凉✧おい[经过这里观看]
144.7,底部弹幕,中,红,1546003825,0,e3ef28cc,9888937176727552,战歌起
105.969,普通弹幕,中,白,1546003214,0,9dded529,9888616772272130,上条当麻呢
1390.836,普通弹幕,中,白,1546002912,0,aaae2e5a,9888458410557442,胸大即是正义
64.301,普通弹幕,中,白,1546002826,0,60c074e1,9888413327032322,信仰！
1236.076,普通弹幕,中,白,1546002731,0,aaae2e5a,9888363435261952,当场去世
1003.276,普通弹幕,中,白,1546002466,0,aaae2e5a,9888224691355648,当场去世
791.887,普通弹幕,中,白,1546002214,0,aaae2e5a,9888092577071106,黑子在龙女仆那开了个小号[滑稽]
786.086,普通弹幕,中,白,1546002190,0,aaae2e5a,9888079849979904,百合无限好只是不能生
1302.142,普通弹幕,中,白,1546001321,0,948a3299,9887624126267392,壮士一路走好
185.975,普通弹幕,中,黄,1546000879,0,db8749eb,9887392333824064,怎么哪里都有妹抖龙
27.294,普通弹幕,中,黄,1546000710,0,db8749eb,9887304016986112,基洛夫
1189.304,普通弹幕,中,白,1545998241,0,8c8494a2,9886009243205632,不一样，史提尔是魔法师，这个人是超能力者
1097.004,普通弹幕,中,白,1545998121,0,8c8494a2,9885946521583616,这是炮姐的系列，看男主请去魔法禁书目录
846.244,普通弹幕,中,白,1545997837,0,8c8494a2,9885797353783296,当麻只是这样自称
776.564,普通弹幕,中,白,1545997717,0,8c8494a2,9885734851837952,可怜的黑子
494.824,普通弹幕,中,白,1545997376,0,8c8494a2,9885555722027008,我一方大爷呢，他才是最强
242.758,普通弹幕,中,白,1545997046,0,8c8494a2,9885382871089152,有一方大爷吗？
168.697,普通弹幕,中,白,1545996545,0,e5df7e1,9885120167149568,黑琴赛高
198.374,底部弹幕,中,红,1545996465,0,7cc07cf4,9885078424387584,君の指先が躍る炎は唯一の信仰であり超電磁炮を永遠に生きている
148.206,底部弹幕,中,红,1545996403,0,7cc07cf4,9885045892317184,君指先跃动のは、私の一生不変の信仰に、唯私の超電磁炮永世永生き
511.727,普通弹幕,中,白,1545995092,0,723a8333,9884358458474496,被放大了
1374.796,底部弹幕,中,红,1545994675,0,18d3a109,9884139851350016,欧尼酱你有洞《中二病也要谈恋爱》
274.021,普通弹幕,中,白,1545990178,0,d82f1ae6,9881782082076672,当麻只活在OP里
881.28,普通弹幕,中,白,1545989846,0,9fc74667,9881607884767232,我靠单轨
574.093,普通弹幕,中,白,1545989204,0,b201ad19,9881271372611584,这是番外篇，没有上条当麻就不会有“您的炮姐”。
232.265,普通弹幕,中,白,1545986516,0,87868a54,9879862237462528,君の指先が躍る炎は唯一の信仰であり超電磁炮を永遠に生きている
230.785,普通弹幕,中,白,1545986510,0,87868a54,9879859202883584,君の指先が躍る炎は唯一の信仰であり超電磁炮を永遠に生きている
1284.765,普通弹幕,中,白,1545986083,0,123184bc,9879635302023170,雷电法王——杨永信！
279.695,普通弹幕,中,白,1545984944,0,669847fd,9879038155292672,西---------------撒-------------------------
1234.271,普通弹幕,中,白,1545975827,0,5e00e2c3,9874257955782656,敢踢泪爷
492.103,普通弹幕,中,白,1545975732,0,23aac37b,9874208123781120,黑子是小可爱们的
217.277,普通弹幕,中,白,1545974496,0,3f92e35b,9873560145756160,一生推
137.654,普通弹幕,中,白,1545972671,0,7c3c1c92,9872603139276800,电到冒烟了
64.158,底部弹幕,中,白,1545972273,0,e4b139a,9872394762059776,这里是哥谭市吗?
890.767,普通弹幕,中,白,1545968215,0,eab98fe1,9870267288911872,消失的游戏厅游戏币
1262.359,普通弹幕,中,灰,1545967870,0,f0630b91,9870086480330752,壮士走好
197.783,普通弹幕,中,白,1545961214,0,c4246a32,9866596591337474,唯我超电磁炮永世长存！
1240.414,普通弹幕,中,白,1545933264,0,d155a1e2,9851942804127744,bye
938.921,普通弹幕,中,蓝,1545933230,0,ad3ad41b,9851924779106304,放屁现场
