视频内弹幕出现时间,弹幕类型,弹幕字号,弹幕颜色,弹幕发送时间,弹幕池类型,发送者UID的HASH,弹幕dmID,弹幕内容
230.094,普通弹幕,中,蓝,1586620718,0,160f98e3,31183886499708933,大刀一抖，小手没有
44.185,普通弹幕,中,白,1586620698,0,2f1bb72d,31183876297064453,小——混——混——
1375.715,普通弹幕,中,白,1586620514,0,3d42b6e9,31183779846946819,话疗
1271.496,普通弹幕,中,白,1586620230,0,9ce6e373,31183630663942149,一路长虹
1205.292,普通弹幕,中,白,1586620179,0,765e7d82,31183603861815303,一袋米要扛几楼
861.115,底部弹幕,中,白,1586620168,0,1ef03b72,31183598488387591,男主当麻，想看的去魔禁或超炮SI4集
1236.771,普通弹幕,中,白,1586620139,0,53e10e54,31183583216402439,GOOD
1233.851,普通弹幕,中,白,1586620126,0,53e10e54,31183576495554565,ag
172.68,普通弹幕,中,白,1586620057,0,53c868e,31183539918077955,泪目
1061.017,普通弹幕,中,橙,1586619398,0,a947ba40,31183194385022981,百合番最棒了
1024.36,普通弹幕,中,橙,1586619341,0,a947ba40,31183164818849795,是每部番都有可丽饼嘛...
360.106,普通弹幕,中,白,1586619302,0,d30d723e,31183144212234243,补四岁的番
416.701,普通弹幕,中,白,1586619286,0,24b79a54,31183135890210819,啦啦啦
1415.535,普通弹幕,中,白,1586618451,0,37a245b2,31182697844965383,泪爷有剧本
785.306,普通弹幕,中,黄,1586618411,0,73ad9244,31182676857716743,吾怀疑汝驱车且飘之，奈何吾无据以示众，任其车轱辘扎于吾脸之上，甚痛！
17.852,普通弹幕,中,白,1586618264,0,517bfc5f,31182600144420871,小————混
587.24,普通弹幕,中,黄,1586618221,0,73ad9244,31182577557045255,吾怀疑汝驱车且飘之，奈何吾无据以示众，任其车轱辘扎于吾脸之上，甚痛
752.653,普通弹幕,中,白,1586617547,0,fef3fffb,31182223963062339,危险的黑子
1104.597,普通弹幕,中,白,1586617476,0,52cffa12,31182187088314371,绅士大乔
57.375,普通弹幕,中,白,1586617360,0,2e5b9f04,31182126252556293,STAND POWER
468.739,普通弹幕,中,白,1586617126,0,62b05478,31182003176996867,ohhhhhh
354.67,普通弹幕,中,白,1586617025,0,5728e662,31181950530093059,补10岁番
1012.06,普通弹幕,中,蓝,1586616923,0,b4e16d02,31181896978792453,眼神动作指导:夜斗
510.483,普通弹幕,中,白,1586616880,0,92bf13cd,31181874265063429,这是什么狼虎之词
1232.216,普通弹幕,中,白,1586616827,0,bbf5cfbf,31181846735224839,雷区蹦迪
140.799,普通弹幕,中,黄,1586616797,0,c251ba2c,31181831028604933,op这个……好像没有安全裤哎！
1069.827,普通弹幕,中,白,1586616638,0,bbf5cfbf,31181747433504773,混混   危
1402.885,普通弹幕,中,白,1586616532,0,d7bec0e7,31181692038807555,泪爷的小白花！
229.232,普通弹幕,中,白,1586616442,0,d93dd962,31181644819333127,这不是百合番（除了黑子这个人）
1193.534,普通弹幕,中,白,1586616439,0,f5915972,31181643382784007,八神vs草剃京。日本民间针灸系列。
232.764,普通弹幕,中,红,1586616406,0,e8ad4cce,31181625763561479,完美降落
1167.475,普通弹幕,中,白,1586616376,0,f5915972,31181609940025351,磁版螺旋丸
1128.752,普通弹幕,中,白,1586616240,0,f5915972,31181539006480389,太平间银行。
1077.955,普通弹幕,中,白,1586616174,0,f5915972,31181504516718595,前方核弹爆炸。
71.414,普通弹幕,中,白,1586616043,0,ab926b0,31181435440726019,真是核平啊，学园都市果然是世界上最安全的地方
314.414,普通弹幕,中,白,1586616026,0,b6e518ab,31181426437128195,压力马斯
329.616,普通弹幕,中,白,1586615940,0,bbf5cfbf,31181381398167555,三岁的番
324.709,普通弹幕,中,白,1586615910,0,73ae5ab,31181366088433733,这么久的翻画质这么好
1319.025,普通弹幕,中,白,1586615896,0,990ba74a,31181358367768579,竟然穿安全裤
1383.424,普通弹幕,中,白,1586615827,0,47ceaac8,31181322324541445,嘴遁指导：旋涡鸣人
69.264,普通弹幕,中,白,1586615656,0,bbf5cfbf,31181232641933315,学园都市真核平
