视频内弹幕出现时间,弹幕类型,弹幕字号,弹幕颜色,弹幕发送时间,弹幕池类型,发送者UID的HASH,弹幕dmID,弹幕内容
1037.91,普通弹幕,中,白,1528559631,0,536758ab,2907140603248640,珍惜吧，这是唯一一个
179.451,普通弹幕,中,黄,1528556608,0,2f24fff3,2907140600627200,百合无限好 要什么男猪
1354.797,普通弹幕,中,紫,1528556168,0,2d8a666a,2907140599578624,我记得有个老爷子叫尤里
1282.904,普通弹幕,中,白,1528554251,0,36381cb4,2907140598530112,看大招
658.622,普通弹幕,中,白,1528554133,0,3492b439,2907140598005760,夹击妹抖
245.76,普通弹幕,中,白,1528554021,0,22033ae0,2907140596957184,夹击妹抖
999.73,普通弹幕,小,白,1528553951,0,36381cb4,2907140595908608,脸都瓜太化了……
932.591,普通弹幕,中,白,1528553711,0,a7d5c41c,2907140594335744,真香
649.065,普通弹幕,小,白,1528553590,0,36381cb4,2907140593287168,hi
533.324,普通弹幕,中,白,1528553470,0,36381cb4,2907140592238592,您的好友掀裙狂魔已上线
427.416,普通弹幕,中,白,1528553106,0,43441816,2907140591190016,5.1能力
62.739,普通弹幕,中,白,1528552999,0,36381cb4,2907140590141440,瞬间打脸
1237.043,普通弹幕,中,白,1528552991,0,9e865b76,2907140589092864,走好
1284.854,普通弹幕,中,白,1528550699,0,650dd211,2907140577034240,投币啊！愣着干什么
1250.554,普通弹幕,中,白,1528550664,0,650dd211,2907140576509952,一路走好
548.345,普通弹幕,中,黄,1528550200,0,4b812b91,2907140575461376,泪爷登场
785.527,普通弹幕,中,白,1528550055,0,9bc0168e,2907140574412800,百合无限好，只是生不了。
516.702,普通弹幕,中,白,1528549752,0,9bc0168e,2907140573364224,大橘已定
244.586,普通弹幕,中,黄,1528549532,0,4b812b91,2907140572315648,太好了，没男主
74.239,普通弹幕,中,白,1528548515,0,ec751acc,2907140571791360,舒服
946.14,普通弹幕,中,白,1528548105,0,abe0b412,2907140570742784,真香
61.015,普通弹幕,中,白,1528546808,0,beaa6785,2907140569694208,站歌2分16不谢
346.654,普通弹幕,中,白,1528546774,0,e0fbca62,2907140568645632,没有看过
83.384,普通弹幕,中,白,1528546759,0,beaa6785,2907140567597056,站歌3分20秒不谢
847.582,普通弹幕,中,白,1528545649,0,bceccc91,2907140566024192,没有百合华，差评
1110.364,普通弹幕,中,绿,1528545574,0,3f6b7654,2907140564975616,秘籍：护蛋法
1079.954,普通弹幕,中,绿,1528545507,0,3f6b7654,2907140563927040,NIMA炸了
703.884,普通弹幕,中,白,1528545488,0,bceccc91,2907140562878464,没百合华，差评
1066.783,普通弹幕,中,绿,1528545484,0,3f6b7654,2907140561829888,窃格瓦拉：你说呢
1013.288,普通弹幕,中,绿,1528545376,0,3f6b7654,2907140560781312,王境泽理论
938.033,普通弹幕,中,白,1528545311,0,46ab7729,2907140560257024,真香
800.977,普通弹幕,中,白,1528545167,0,46ab7729,2907140559208448,上琴党头顶青天
1232.053,普通弹幕,中,红,1528544161,0,c7b7e5ee,2907140558159872,前方高能
464.061,普通弹幕,中,白,1528543973,0,c7b7e5ee,2907140557111296,前方高能
1240.44,底部弹幕,中,白,1528543174,0,592d759,2907140553965568,为他默哀
465.311,普通弹幕,中,白,1528543057,0,12d35321,2907140552916992,哈哈哈哈哈哈哈哈
991.422,底部弹幕,中,绿,1528542916,0,592d759,2907140551344128,前方倒地警告
1142.954,普通弹幕,中,白,1528542901,0,20fb636c,2907140550295552,管槽
986.929,普通弹幕,中,白,1528542790,0,20fb636c,2907140549246976,真香
941.208,普通弹幕,中,白,1528542739,0,20fb636c,2907140548722688,真香
744.729,底部弹幕,中,黄,1528542418,0,592d759,2907140546625536,前方百合警告
536.031,底部弹幕,中,黄,1528542190,0,592d759,2907140545576960,前方上下风警告
489.782,底部弹幕,中,黄,1528542074,0,592d759,2907140544004096,前方百合高能
190.769,普通弹幕,中,白,1528541855,0,20fb636c,2907140542955520,CPU的香气
173.991,底部弹幕,中,红,1528541633,0,592d759,2907140541906944,这部番明明炮姐是男主，女主是黑子/滑稽
950.994,普通弹幕,中,白,1528541616,0,24b038a4,2907140540858368,王境泽；我当年就不该吃那口饭
19.401,普通弹幕,中,白,1528541458,0,20fb636c,2907140539809792,补番
10.268,底部弹幕,中,白,1528541097,0,592d759,2907140537712640,晓得第几遍了，大爱我炮姐
627.151,普通弹幕,中,白,1528539932,0,7ff4a188,2907140534566912,不不不，你哪里弱了，风暴指挥官
229.98,普通弹幕,中,白,1528539591,0,6834c7f4,2907140532469760,论一个优秀的op是多么重要
19.62,普通弹幕,中,白,1528539362,0,6834c7f4,2907140531421184,蝉在叫
15.678,普通弹幕,中,黄,1528539191,0,b74a31ef,2907140530896896,活着不好吗
628.192,普通弹幕,中,蓝,1528538722,0,b0e8efdd,2907140529848320,听说没没有男猪脚，
12.935,普通弹幕,中,蓝,1528538217,0,b0e8efdd,2907140527751168,新人参上
933.333,普通弹幕,中,白,1528534790,0,4f2fc0e3,2907140526702592,蛤蛤
711.856,普通弹幕,中,白,1528532571,0,dd8fcb53,2907140525654016,想看男主去魔禁吧 上条这里出场少
380.912,普通弹幕,中,白,1528532371,0,dd8fcb53,2907140524605440,寿美大小姐
14.256,普通弹幕,中,白,1528532362,0,57da89e2,2907140523556864,突然想到六道的版本。。。
555.056,普通弹幕,中,白,1528532226,0,dd8fcb53,2907140522508288,丰崎哦
368.944,普通弹幕,中,白,1528532032,0,dd8fcb53,2907140521459712,有上条～
502.055,普通弹幕,中,白,1528531889,0,62f0860a,2907140520935424,???
127.061,普通弹幕,中,白,1528531781,0,dd8fcb53,2907140519886848,丰崎
27.559,底部弹幕,中,红,1528531627,0,9e579bd9,2907140517789696,夹击妹抖的计数君呢？
15.575,普通弹幕,中,白,1528531031,0,d4af821d,2907140514643968,再来一遍
1272.778,普通弹幕,中,白,1528530254,0,d9f3cb0e,2907140513595392,决定命运的硬币
1251.098,普通弹幕,中,白,1528530227,0,d9f3cb0e,2907140512546816,前方高能预警
1234.759,普通弹幕,中,白,1528530207,0,d9f3cb0e,2907140512022528,壮士一路走好
1085.439,普通弹幕,中,白,1528530049,0,d9f3cb0e,2907140510973952,因为你遇上了Paul
1318.631,普通弹幕,中,白,1528530042,0,f5b2f8f1,2907140509925376,小孩子呢
1244.647,普通弹幕,中,白,1528529964,0,f5b2f8f1,2907140508876800,壮士干架
873.575,普通弹幕,中,白,1528529490,0,c3d9a531,2907140507828224,投不了币了？
1322.136,普通弹幕,中,白,1528529164,0,4411b8fe,2907140506779648,好装逼
1393.238,普通弹幕,中,白,1528529091,0,e9c9a7d8,2907140506255360,这部里面还没有茵蒂克丝
8.041,普通弹幕,中,白,1528528329,0,5340ba97,2907140501536768,再来一遍
504.708,普通弹幕,中,黄,1528527333,0,a16e2f81,2907140500488192,大橘已定
497.301,普通弹幕,中,粉,1528527307,0,a16e2f81,2907140499439616,高能！
392.046,普通弹幕,中,粉,1528527191,0,a16e2f81,2907140498391040,承包这个“哼”
337.998,普通弹幕,中,白,1528527071,0,a16e2f81,2907140496293888,上次我这样走，被十几个人追着打了十几条街
251.093,普通弹幕,中,白,1528527044,0,d9f3cb0e,2907140495245312,说女孩子吗？
291.116,普通弹幕,中,白,1528526975,0,a16e2f81,2907140494721024,官方吐槽最为致命
241.589,普通弹幕,中,白,1528526906,0,a16e2f81,2907140493672448,夹击妹抖×1
154.951,普通弹幕,中,黄,1528526582,0,a16e2f81,2907140489478144,不知所谓界限因为毫无意义
151.259,普通弹幕,中,黄,1528526546,0,a16e2f81,2907140488429568,未来亦可弃之不顾
148.96,普通弹幕,中,黄,1528526519,0,a16e2f81,2907140487905280,放飞！铭记心灵的梦想
1316.636,普通弹幕,中,白,1528526093,0,13bd5248,2907140485808128,暂停学表情
12.843,普通弹幕,中,白,1528525810,0,68b93fe7,2907140484759552,大妈
1114.577,普通弹幕,中,白,1528523988,0,b86ca408,2907140477943808,蝎！
1308.471,普通弹幕,中,白,1528523175,0,b1de1ec6,2907140475322432,帅
1395.006,普通弹幕,中,白,1528523156,0,ab702443,2907140474273792,橘势明朗
1279.351,普通弹幕,中,白,1528523141,0,b1de1ec6,2907140473749504,我炮姐太帅了！！！
1241.771,普通弹幕,中,白,1528523095,0,b1de1ec6,2907140472700928,投币！！！！
1239.05,普通弹幕,中,白,1528523083,0,b1de1ec6,2907140471652352,﻿(๑˙ー˙๑)
10.333,普通弹幕,中,白,1528522933,0,6b0a751d,2907139873964032,再来一遍
1244.165,普通弹幕,中,白,1528522049,0,e6730e3b,2907139858235392,投币投币
30.227,普通弹幕,中,白,1528521264,0,44477836,2907139856138240,当麻快来！
2.3,普通弹幕,中,白,1528520095,0,559ab564,2907139854041088,我也不知道是第几遍
4.244,普通弹幕,中,白,1528520053,0,2ae29cf5,2907139852992512,再来一遍
566.615,底部弹幕,中,红,1528519544,0,af865f23,2907139851943936,在魔禁找炮姐，在超跑找当麻
192.349,普通弹幕,中,白,1528519456,0,5a0586a3,2907139850895424,当麻
164.93,普通弹幕,中,白,1528519417,0,5a0586a3,2907139849846784,...
961.003,普通弹幕,中,白,1528518998,0,ef86001a,2907139844603904,又是他
680.144,普通弹幕,中,白,1528518713,0,ef86001a,2907139842506752,我就是男主
1016.183,普通弹幕,中,红,1528518585,0,540b41e9,2907139841458176,真香
1242.22,普通弹幕,中,白,1528517393,0,373996f7,2907139839361024,一路走好
1242.863,普通弹幕,中,黄,1528516936,0,c028ff35,2907139838312448,壮士一去不复还
28.2,普通弹幕,中,白,1528516914,0,42af4f74,2907139836215296,活着不好吗，兄弟
1091.683,普通弹幕,中,黄,1528516741,0,c028ff35,2907139835166720,其实正常情况下，风纪委员只维护校内的治安
1009.448,普通弹幕,中,黄,1528516615,0,c028ff35,2907139834118144,开心的像个呱太
990.188,普通弹幕,中,黄,1528516585,0,c028ff35,2907139833069568,真香
928.088,普通弹幕,中,黄,1528516515,0,c028ff35,2907139832020992,真香...
609.607,普通弹幕,中,黄,1528516120,0,c028ff35,2907139828350976,上条当麻的能力无法被检测，因为检测机属于异能
534.733,普通弹幕,中,黄,1528515966,0,c028ff35,2907139827302400,空力使，上升气流绝对能力者:佐天泪子
492.744,普通弹幕,中,黄,1528515852,0,c028ff35,2907139825205248,炮姐能力运用的方面太多了
279.978,普通弹幕,中,黄,1528515586,0,c028ff35,2907139824156672,金坷垃!
170.818,普通弹幕,中,黄,1528515459,0,c028ff35,2907139822583808,混入其中
103.078,普通弹幕,中,黄,1528515341,0,c028ff35,2907139819438080,这都能被困住...
69.199,普通弹幕,中,黄,1528515285,0,c028ff35,2907139818389504,见识一下真正的落雷吧!
62.099,普通弹幕,中,黄,1528515252,0,c028ff35,2907139817340928,光速打脸
6.819,普通弹幕,中,白,1528515244,0,f8df1557,2907139816816640,新人怎么办
17.879,普通弹幕,中,黄,1528515203,0,c028ff35,2907139814719488,壮士走好
834.807,普通弹幕,中,白,1528515026,0,d8b4d22f,2907139813670912,天下太平
220.153,普通弹幕,中,白,1528514646,0,a2a3efa4,2907139813146624,新人追番，请多多指教
1248.648,底部弹幕,中,红,1528514541,0,80f10eb6,2907139812098048,壮士走好
1090.651,普通弹幕,中,白,1528514390,0,2fc7919f,2907139811049472,等会高能
678.241,普通弹幕,中,白,1528513732,0,a3336264,2907139809476608,炮姐是第三
1419.421,底部弹幕,中,粉,1528512902,0,1ddbae9a,2907139807379456,你妹飞
664.46,普通弹幕,中,白,1528511582,0,5a3c420d,2907139802660864,当妈出现后就只剩6个了
8.86,底部弹幕,中,白,1528511057,0,4c242c0e,2907139800563712,新人补番
1321.748,普通弹幕,中,白,1528509194,0,67e8c8eb,2907139799515136,这逼装的
276.336,底部弹幕,中,红,1528508692,0,1291cad9,2907139794796544,前方高能
791.709,普通弹幕,中,白,1528508099,0,e8ff6023,2907139787456512,敲～卡哇伊的
1317.406,底部弹幕,中,绿,1528506166,0,ae82964c,2907139783786496,万恶的安全裤
1311.859,底部弹幕,中,绿,1528506146,0,ae82964c,2907139782737920,切，安全裤
1276.531,底部弹幕,中,绿,1528506099,0,ae82964c,2907139781689344,壮士一去兮不复返～
1237.449,底部弹幕,中,绿,1528506010,0,ae82964c,2907139780116480,壮士走好
1231.049,底部弹幕,中,绿,1528505992,0,ae82964c,2907139779067904,小混混快跑！！
1194.697,底部弹幕,中,绿,1528505934,0,ae82964c,2907139778019328,似李！人体描边大师！
1125.577,底部弹幕,中,绿,1528505835,0,ae82964c,2907139776970752,小混混快跑！！
1044.08,底部弹幕,中,绿,1528505708,0,ae82964c,2907139776446464,小孩强势围观！
934.171,底部弹幕,中,黄,1528505572,0,ae82964c,2907139775397888,真香～
