视频内弹幕出现时间,弹幕类型,弹幕字号,弹幕颜色,弹幕发送时间,弹幕池类型,发送者UID的HASH,弹幕dmID,弹幕内容
802.094,底部弹幕,中,黄,1577807814,0,a364abc5,26563386919092226,百合最棒不用男主
802.833,底部弹幕,中,黄,1577807794,0,a364abc5,26563376132390916,百合多棒要啥男主
182.959,普通弹幕,中,白,1577807093,0,6ac0021c,26563008969310210,2020了
1299.538,普通弹幕,中,白,1577806333,0,e0a6f54b,26562610485788676,当妈:
89.179,普通弹幕,中,白,1577805646,0,61730279,26562249916153856,食蜂有多少戏份，，，，
81.639,普通弹幕,中,白,1577805619,0,61730279,26562235948072960,打劫，，，，
60.779,普通弹幕,中,白,1577805587,0,61730279,26562218952228866,上峰好
51.139,普通弹幕,中,白,1577805564,0,61730279,26562206914052096,想看食蜂，，，
1387.049,普通弹幕,中,白,1577804165,0,ef5001e4,26561473587183618,风暴指挥官，希灵帝国啊
237.198,普通弹幕,中,白,1577803453,0,1be97c58,26561100496502786,再过一个小时2020
905.346,底部弹幕,中,白,1577803352,0,408640ae,26561047716954114,超炮女主黑子男主炮姐
214.982,普通弹幕,中,白,1577803207,0,c6570dd9,26560971461885956,明天2020
951.089,普通弹幕,中,白,1577803060,0,959df740,26560894602313730,前方右下角高萌
1077.973,底部弹幕,中,红,1577802920,0,1915c6b0,26560820965539844,艺术就是派大星
154.112,普通弹幕,中,白,1577802683,0,abfffe29,26560696879677444,普通市民 炮姐
337.557,普通弹幕,中,白,1577802562,0,2a9b95f7,26560633098469376,教主呢
284.153,普通弹幕,中,白,1577802548,0,896ecea4,26560625744805888,黄金精神
393.386,底部弹幕,中,红,1577802243,0,1915c6b0,26560466185617412,婚前天美
138.526,普通弹幕,中,白,1577801778,0,9bca4069,26560222206623746,准备好了吗？3 2 1！
198.354,普通弹幕,中,白,1577801742,0,c1eeab88,26560203554029572,明天就2020了
235.157,普通弹幕,中,蓝,1577801389,0,c848c59e,26560018012700676,现在才来看1551
28.951,普通弹幕,中,白,1577801072,0,c78ec921,26559851833851904,活着不好吗？
549.589,普通弹幕,中,绿,1577800786,0,691bff1,26559701923659778,giao～
512.725,普通弹幕,中,绿,1577800743,0,691bff1,26559679416500226,哟西哟西哟西
75.932,普通弹幕,中,白,1577799454,0,f976d63b,26559004030795778,哈哈哈哈
1245.794,普通弹幕,中,白,1577798828,0,a3e7ec6c,26558675584811010,一路走好
228.437,普通弹幕,中,白,1577798667,0,ba31f447,26558591395692548,为什么
775.916,普通弹幕,中,白,1577797880,0,6d5f220d,26558178336964610,hentai
1000.009,普通弹幕,中,白,1577797684,0,bbe4b79a,26558075610595332,不香了
866.864,普通弹幕,中,白,1577797615,0,796d85a0,26558039735664640,蛙太
1264.067,普通弹幕,中,白,1577795680,0,4b6b050f,26557025293959170,壮士走好
246.179,普通弹幕,中,白,1577795330,0,c0413b84,26556841511092224,。。。。
13.299,普通弹幕,中,红,1577793987,0,cefe02b6,26556137580003328,马上就出第三季了，回来回顾一遍
788.515,普通弹幕,中,白,1577793350,0,5c788ab2,26555803342209024,awsl
18.728,普通弹幕,中,白,1577792628,0,3048a974,26555424795787264,复习
920.192,底部弹幕,中,黄,1577792445,0,13c114be,26555329274707970,这个表情！太撩了！
930.201,底部弹幕,中,黄,1577792415,0,13c114be,26555313198465024,awsl
921.839,底部弹幕,中,黄,1577792400,0,13c114be,26555305311600644,哇这个表情太撩了wsl
196.627,普通弹幕,中,白,1577792215,0,78bd767b,26555208579940354,2020年到此一游
547.81,普通弹幕,中,黄,1577792012,0,e0f0b861,26555101758881796,经典场面
1296.838,普通弹幕,中,黄,1577791369,0,59fe3d66,26554764953124864,开炮
1210.909,普通弹幕,中,黄,1577791202,0,59fe3d66,26554677556936704,人体描边
1206.681,普通弹幕,中,黄,1577791195,0,59fe3d66,26554673818238978,人体描边
1125.502,普通弹幕,中,黄,1577791121,0,59fe3d66,26554634963255296,走好
274.635,普通弹幕,中,白,1577791114,0,6ace459e,26554631053639680,明天2020
1054.253,普通弹幕,中,黄,1577790560,0,59fe3d66,26554340530978820,xswl
1054.253,普通弹幕,中,黄,1577790555,0,59fe3d66,26554337968259072,哈哈哈嗝
159.6,普通弹幕,中,白,1577790542,0,a043b79a,26554331263664128,这怕不是重制版
1002.953,普通弹幕,中,黄,1577790509,0,59fe3d66,26554313759784962,秒跪哈哈哈嗝
806.784,普通弹幕,中,黄,1577790344,0,59fe3d66,26554227411648514,哦豁完蛋
780.358,普通弹幕,中,黄,1577790319,0,59fe3d66,26554214225805312,想法不错
765.77,普通弹幕,中,黄,1577790298,0,59fe3d66,26554203609497600,想法很不错哦
541.701,普通弹幕,中,黄,1577790095,0,59fe3d66,26554097080467456,上升气流
514.0,普通弹幕,中,黄,1577790048,0,59fe3d66,26554072049909762,这……
503.644,普通弹幕,中,黄,1577790035,0,59fe3d66,26554065493688324,哦豁
478.125,普通弹幕,中,黄,1577789999,0,59fe3d66,26554046821171202,什么东西过去了
277.782,普通弹幕,中,红,1577789824,0,59fe3d66,26553954751479808,前方名场面
217.39,普通弹幕,中,白,1577789772,0,629382dc,26553927582875648,正传是 魔禁
232.97,普通弹幕,中,红,1577789761,0,59fe3d66,26553922098823168,明天2020了
598.857,普通弹幕,中,白,1577789204,0,9a5a3e5f,26553629656219650,亚梦的cv！！！！！
1008.16,普通弹幕,中,白,1577788879,0,709c6950,26553459670515712,膝盖
169.298,底部弹幕,中,白,1577788818,0,a9193c93,26553427660636160,tfboys已盗
1141.224,普通弹幕,中,白,1577788134,0,83cb30a4,26553069032439808,求视角
1071.003,普通弹幕,中,白,1577788032,0,83cb30a4,26553015368417282,GTA5？
237.737,普通弹幕,中,黄,1577787813,0,6bec2cb4,26552900530995202,明天2020年了，回来复习一下
1031.786,普通弹幕,中,白,1577787753,0,486193f0,26552868850368576,来一箱纳豆~
180.278,普通弹幕,中,白,1577786218,0,b1ed44b,26552064715784192,bilibili
797.206,普通弹幕,中,白,1577785730,0,7de06fac,26551808674496512,百合无限好
24.583,普通弹幕,中,白,1577784958,0,7de06fac,26551403628986368,爱死这个小破站了！
485.973,普通弹幕,中,白,1577783864,0,f33082df,26550829905870852,摄影师晚饭加蛆
237.462,普通弹幕,中,白,1577782318,0,1e9a9352,26550019617718272,明天就是2020了
214.838,底部弹幕,中,红,1577782138,0,15681569,26549925207605250,明天2020年
947.989,普通弹幕,中,白,1577781017,0,f6df78b4,26549337527418884,是的，像亚梦
221.664,普通弹幕,中,白,1577780941,0,74acdf68,26549297445601280,一天2020
556.323,普通弹幕,中,白,1577780404,0,a193ffb7,26549015837409282,蜡笔小新？
250.219,普通弹幕,中,白,1577779664,0,454147ac,26548627924058114,又是核平的一天
644.386,普通弹幕,中,白,1577777753,0,6040bd1f,26547626278125572,辣妹儿
382.715,普通弹幕,中,白,1577776202,0,3f3dd626,26546813106913280,没有对比就没有伤害  好平啊
29.521,普通弹幕,中,白,1577776193,0,29a88943,26546808416108546,女主好帅啊
705.846,普通弹幕,中,白,1577776030,0,b3647d07,26546722799878146,皮卡皮卡
175.781,底部弹幕,中,白,1577774623,0,783d637f,26545985233092612,明天就2020了
1195.137,普通弹幕,中,白,1577773595,0,d5c4dce6,26545445980340226,人体描边xxxxxx
1201.134,普通弹幕,中,白,1577772383,0,5d248856,26544810724687874,台词指导:容嬷嬷
153.911,普通弹幕,中,白,1577771020,0,5d248856,26544096181485572,都不准跳
151.658,普通弹幕,中,白,1577770847,0,5a30d6fb,26544005315559424,不会跳过滴
52.018,普通弹幕,中,白,1577770132,0,b54573ce,26543630578614276,hepin
497.98,普通弹幕,中,白,1577768664,0,8b1937b1,26542860982026244,摄晚凡桌
1004.465,普通弹幕,中,白,1577768541,0,85a21e03,26542796515573760,失去梦想
642.785,普通弹幕,中,白,1577768073,0,85a21e03,26542551163469828,爱河
639.865,普通弹幕,中,白,1577768064,0,85a21e03,26542546537152512,爱河
174.562,普通弹幕,中,白,1577767288,0,fa7a12d7,26542139673411586,终于找到这首歌了
503.21,普通弹幕,中,黄,1577766487,0,f8ccf812,26541719540465664,噗哈哈哈哈哈
1430.83,普通弹幕,中,紫,1577765939,0,373d7315,26541432196038660,喜欢
414.495,普通弹幕,中,白,1577765334,0,db907e02,26541115163803650,这该是碧翠丝的声优吧
1412.458,普通弹幕,中,白,1577764832,0,9fe594d1,26540852093911040,啊~吼~
1282.677,普通弹幕,中,白,1577762727,0,5d3851bf,26539748202381316,名场面
944.204,普通弹幕,中,白,1577762298,0,5d3851bf,26539523406561282,快速打脸
929.484,普通弹幕,中,白,1577762240,0,5d3851bf,26539493076500484,…………
911.024,普通弹幕,中,白,1577762217,0,5d3851bf,26539480688623616,呱太
