视频内弹幕出现时间,弹幕类型,弹幕字号,弹幕颜色,弹幕发送时间,弹幕池类型,发送者UID的HASH,弹幕dmID,弹幕内容
5.381,普通弹幕,中,白,1519660325,0,4337640f,2907094727524352,魔禁转来
1304.661,普通弹幕,中,粉,1519660179,0,de97c270,2907094725427200,一路走好
142.72,底部弹幕,中,蓝,1519660057,0,928dad11,2907094723854336,你指尖悦动的电光，是我此生不变的信仰，唯我吃超电磁炮永世长存！
142.72,底部弹幕,中,蓝,1519660052,0,928dad11,2907094721757184,你指尖悦动的电光，是我此生不变的信仰，唯我吃超电磁炮永世长存！
142.72,底部弹幕,中,蓝,1519660048,0,928dad11,2907094720184320,你指尖悦动的电光，是我此生不变的信仰，唯我吃超电磁炮永世长存！
142.72,底部弹幕,中,蓝,1519660043,0,928dad11,2907094719135744,你指尖悦动的电光，是我此生不变的信仰，唯我吃超电磁炮永世长存！
142.72,底部弹幕,中,蓝,1519660038,0,928dad11,2907094718087168,你指尖悦动的电光，是我此生不变的信仰，唯我吃超电磁炮永世长存！
142.72,底部弹幕,中,蓝,1519660033,0,928dad11,2907094716514304,你指尖悦动的电光，是我此生不变的信仰，唯我吃超电磁炮永世长存！
142.72,底部弹幕,中,蓝,1519660028,0,928dad11,2907094714417152,你指尖悦动的电光，是我此生不变的信仰，唯我吃超电磁炮永世长存！
142.72,底部弹幕,中,蓝,1519660017,0,928dad11,2907094713368576,你指尖悦动的电光，是我此生不变的信仰，唯我吃超电磁炮永世长存！
1135.361,普通弹幕,中,粉,1519660004,0,de97c270,2907094712320000,一路走好～
727.469,普通弹幕,中,粉,1519659578,0,de97c270,2907094711271424,各种七的你们够了
472.851,普通弹幕,中,白,1519659290,0,de97c270,2907094710222848,摄影师今天晚上吃玻璃
645.632,普通弹幕,中,白,1519659257,0,5a610252,2907094709698560,VAN的泥垢了
70.389,普通弹幕,中,白,1519658953,0,121bee6f,2907094707601408,打脸打的太快了吧
1313.563,普通弹幕,中,白,1519658599,0,76d8840d,2907094705504256,切安全裤
4.949,普通弹幕,中,白,1519658577,0,32db2c65,2907094704455680,久仰大名……前来观看
636.012,普通弹幕,中,白,1519657959,0,b5b6ab8b,2907094702358528,hop
