视频内弹幕出现时间,弹幕类型,弹幕字号,弹幕颜色,弹幕发送时间,弹幕池类型,发送者UID的HASH,弹幕dmID,弹幕内容
507.098,普通弹幕,中,白,1511883539,0,529b0818,2907022064877568,突如其来的骚
841.747,普通弹幕,中,白,1511882632,0,74411220,2907022056489024,米沙克 米克多
20.246,普通弹幕,中,红,1511882546,0,e4e40a5e,2907022055964672,那不是布束吗
1491.825,普通弹幕,中,白,1511882124,0,802a231b,2907022049148928,我最大行了吧
1476.238,普通弹幕,小,白,1511882097,0,802a231b,2907022044954624,哈哈哈
24.769,普通弹幕,中,白,1511881172,0,9961863,2907022028177408,久闻大名特来补番
566.995,普通弹幕,中,白,1511881036,0,3c27e4d0,2907022026080256,天桥南
301.483,普通弹幕,中,白,1511880763,0,3c27e4d0,2907022023983104,警备值 25
269.961,普通弹幕,中,白,1511880723,0,3c27e4d0,2907022022410240,儿童公园北
132.435,普通弹幕,中,白,1511880580,0,3c27e4d0,2907022021361664,获得适格者经验2
5.509,普通弹幕,中,白,1511880443,0,3c27e4d0,2907022019788800,泡澡音乐
638.367,底部弹幕,中,红,1511880303,0,f6f54eb8,2907022018740224,爱爱爱爱爱爱爱爱爱爱爱爱爱爱爱
636.916,底部弹幕,中,红,1511880280,0,f6f54eb8,2907022017691648,爱爱爱爱爱爱爱爱爱爱爱爱爱爱爱
633.994,底部弹幕,小,红,1511880280,0,f6f54eb8,2907022015594496,爱爱爱爱爱爱爱爱爱爱爱爱爱爱爱
635.7,底部弹幕,中,红,1511880193,0,f6f54eb8,2907022016643072,爱爱爱爱爱爱爱爱爱爱爱爱爱爱爱
135.224,底部弹幕,中,青,1511880169,0,bc227845,2907022014545920,电击治疗
831.463,普通弹幕,中,白,1511880143,0,fb9cc2aa,2907022013497344,新的风暴已经出现，然而迪加还在吃面
1197.057,普通弹幕,中,白,1511880020,0,bb1fc395,2907022012973056,佩恩钉仙鸣
1115.062,普通弹幕,中,白,1511879859,0,bb1fc395,2907022011924480,蝎的傀儡蛭子？
1347.786,普通弹幕,中,红,1511879816,0,effff9e6,2907022010875904,没错，这就是年轻的史提尔
1188.544,普通弹幕,中,白,1511878880,0,28ccca90,2907022007730176,楚子航君焰低配？？
109.397,普通弹幕,中,白,1511878806,0,e18f51f0,2907022007205888,贝蒂？？
1406.301,底部弹幕,中,蓝,1511877119,0,efa04ff6,2907021987282944,表示全班男生都会这样
1094.152,底部弹幕,中,蓝,1511877066,0,efa04ff6,2907021985710080,红色多记了一个
18.34,普通弹幕,中,红,1511876981,0,b7565f28,2907021983088640,活着不好么
654.873,底部弹幕,中,蓝,1511876523,0,efa04ff6,2907021974700032,慢了慢了
642.457,底部弹幕,中,蓝,1511876482,0,efa04ff6,2907021972602944,我在那里没有家~
733.424,底部弹幕,中,蓝,1511876402,0,efa04ff6,2907021978894336,不记了不记了，默默补番
641.027,底部弹幕,中,蓝,1511876390,0,efa04ff6,2907021971554304,我在东北玩泥巴虽然东北不大
422.425,底部弹幕,中,蓝,1511876261,0,efa04ff6,2907021968408576,暗示投币，快投（我是计数君冒充）
1202.347,普通弹幕,中,白,1511876140,0,fdbfe5a3,2907021965262848,神威
244.659,底部弹幕,中,蓝,1511876025,0,efa04ff6,2907021962641408,计数君，记得计数，我来凑个
1315.708,普通弹幕,中,白,1511874762,0,29de8532,2907021945339904,你以为我是谁
700.476,普通弹幕,中,白,1511874131,0,29de8532,2907021935902720,她什么能力啊。。。
146.22,普通弹幕,中,白,1511874104,0,182fc9f5,2907021934854144,战歌
504.761,普通弹幕,中,白,1511873966,0,29de8532,2907021933805568,加鸡腿！
52.245,普通弹幕,中,红,1511872851,0,684bd9f4,2907021929611264,久仰
1244.812,普通弹幕,中,白,1511871668,0,804b121,2907021929086976,夭寿啦！
476.855,普通弹幕,中,绿,1511871515,0,91c0de9b,2907021926989824,所以说老子每次要紧的时候都有个马赛克
1326.381,普通弹幕,中,白,1511871376,0,fd5b7db9,2907021925941312,佐天泪子
