视频内弹幕出现时间,弹幕类型,弹幕字号,弹幕颜色,弹幕发送时间,弹幕池类型,发送者UID的HASH,弹幕dmID,弹幕内容
170.879,普通弹幕,中,白,1609257374,普通池,d348f42a,43052013857013765,哔哩哔哩乾杯
162.63,普通弹幕,中,白,1609254715,普通池,9b021ef9,43050619364704263,bilibili
207.436,普通弹幕,中,白,1609254089,普通池,d6d4a0c0,43050291295158277,哔哩哔哩 - ( ゜- ゜)つロ 乾杯~
170.099,普通弹幕,中,白,1609252979,普通池,39c6446a,43049709296156675,哔哩哔哩(゜-゜)つロ 干杯~
195.598,普通弹幕,中,白,1609250145,普通池,30a80b54,43048223519539207,哔哩哔哩干杯
1180.973,普通弹幕,中,白,1609248713,普通池,32cb4283,43047472799940611,这就是，火之意志
141.678,普通弹幕,中,绿,1609246265,普通池,3511fe62,43046189357596675,小混混是高危职业
145.74,普通弹幕,中,白,1609243917,普通池,c2c85785,43044958509727749,记忆深处的呼唤
1.38,普通弹幕,中,白,1609243733,普通池,c2c85785,43044861876633603,梦开始的地方～
86.317,普通弹幕,中,白,1609242671,普通池,5d0f4d2b,43044304966385667,光速打脸
957.566,普通弹幕,中,红,1609242398,普通池,667e1525,43044161974173703,惊现夏娜两人组
1149.288,底部弹幕,中,红,1609241781,普通池,e07b89eb,43043838399348805,发生肾么事了
201.523,普通弹幕,中,白,1609237325,普通池,1e7a4a1e,43041502307287047,来这听歌
9.471,普通弹幕,中,白,1609236798,普通池,4600db08,43041226160078855,破亿啦
1247.092,底部弹幕,中,红,1609236400,普通池,3a8bf327,43041017511280647,愿下辈子没有炮姐（doge）
1304.497,普通弹幕,中,白,1609233574,普通池,bdf06495,43039535667871749,还好没有市政厅
764.268,普通弹幕,中,白,1609231729,普通池,c826ac53,43038568177729543,电 脑 配 件
465.986,普通弹幕,中,白,1609229604,普通池,f3579314,43037454315814917,下次也不一定
445.08,普通弹幕,中,白,1609228676,普通池,f2926d80,43036967915487239,好球，接近3马赫
214.504,普通弹幕,中,白,1609228030,普通池,4650a0ef,43036629220196359,啦啦啦
468.214,底部弹幕,中,白,1609227249,普通池,54535b45,43036219433549831,B站投币，等级，站名的起源都是来源于这部番
1409.576,普通弹幕,中,白,1609225994,普通池,60f314ff,43035561759866885,这糟糕的声音
1025.015,普通弹幕,中,白,1609225571,普通池,60f314ff,43035339991285767,非战斗人员请撤离
1021.234,普通弹幕,中,白,1609225565,普通池,60f314ff,43035336738603015,前方高能预警
533.846,普通弹幕,中,白,1609224945,普通池,60f314ff,43035011363373061,前方高能预警
190.956,普通弹幕,中,白,1609224498,普通池,60f314ff,43034777455427589,bilibili- ( ゜- ゜)つロ 乾杯~
203.837,普通弹幕,中,白,1609223428,普通池,ce4c2b92,43034216218230789,哔哩哔哩( ゜- ゜)つロ乾杯
195.56,普通弹幕,中,白,1609223404,普通池,ce4c2b92,43034203900084231,哔哩哔哩( ゜- ゜)つロ乾杯
7.634,普通弹幕,中,白,1609223184,普通池,ce4c2b92,43034088134672391,回顾经典
499.058,普通弹幕,中,红,1609221758,普通池,decf355a,43033340480585735,这个画面为什么要改
166.669,普通弹幕,中,红,1609221668,普通池,decf355a,43033293273694215,专门来再听一遍歌的
170.244,普通弹幕,中,红,1609220105,普通池,f22c9a3e,43032473909592071,哔哩哔哩-(゜-゜)つロ乾杯~
193.462,普通弹幕,中,白,1609220039,普通池,be27062a,43032439253630981,哔哩哔哩(゜-゜)つロ 乾杯~
611.509,普通弹幕,中,白,1609217495,普通池,5d4516af,43031105877573635,也许是黑的
181.876,普通弹幕,中,白,1609213968,普通池,410e74a8,43029256691253255,哔哩哔哩干杯
457.253,普通弹幕,中,红,1609210404,普通池,11eb8e0f,43027387951087621,这就是B站的起源
1237.024,普通弹幕,中,白,1609200079,普通池,aa96988a,43021974572630021,常盘台没有LV2.都是LV3以上吧
170.059,普通弹幕,中,蓝,1609198065,普通池,cd44f54a,43020918684385285,哔哩哔哩干杯
406.585,普通弹幕,中,白,1609174551,普通池,117af91a,43008590887780359,御坂
1335.853,普通弹幕,中,紫,1609170372,普通池,fb1bf592,43006399404310531,真没想到黑子可以说出这样的花
1192.481,底部弹幕,中,紫,1609169359,普通池,4f1dbdf9,43005868585254917,国服马超
442.218,底部弹幕,中,红,1609168789,普通池,4f1dbdf9,43005569508311045,以下是虎王88mm炮数据
55.81,普通弹幕,中,白,1609168545,普通池,4f1dbdf9,43005441582039045,J-A-V-A！
989.849,普通弹幕,中,黄,1609167790,普通池,317b7e4b,43005046070181891,哈哈
189.393,普通弹幕,中,白,1609166916,普通池,6d2c3d91,43004587552538631,梦始之地
575.814,普通弹幕,中,白,1609164820,普通池,76c54eee,43003488933249029,原来是佐天
0.0,普通弹幕,中,白,1609163467,普通池,93d2c5e3,43002779572633607,现在来考古
1184.673,底部弹幕,中,蓝,1609162980,普通池,d832ee84,43002524214493189,哈哈哈哈哈神特喵波风水门
984.83,普通弹幕,中,白,1609162750,普通池,55a7428f,43002403394420741,某科学的傲娇炮
4.0,普通弹幕,中,白,1609157116,普通池,f00ccded,42999449582567431,梦开始的地方
857.031,底部弹幕,中,蓝,1609156856,普通池,1070cb0f,42999313350524935,炮姐161哦
1326.901,底部弹幕,中,红,1609153081,普通池,ff0c874d,42997334095691781,斯国一，一库一库
1319.741,底部弹幕,中,红,1609153066,普通池,ff0c874d,42997326400192515,喇叭，质量真好，赞。
1200.061,底部弹幕,中,红,1609152937,普通池,ff0c874d,42997258680008707,时间空间时空是最强的能力。
478.446,底部弹幕,中,红,1609152601,普通池,ff0c874d,42997082628292615,矮子就可以正面过来。
470.466,普通弹幕,中,白,1609152577,普通池,ff0c874d,42997070105673733,呀呀呀
1219.022,底部弹幕,中,绿,1609145921,普通池,38a149c0,42993580433735687,黑子是需要触碰物品才能转移，另一个肉眼可见就可以转移
1213.208,底部弹幕,中,绿,1609145904,普通池,38a149c0,42993571121856519,黑子其实做不到，因为她没有这个计算力
677.627,底部弹幕,中,绿,1609145568,普通池,38a149c0,42993395062276099,唯一一次看错了剧本
671.854,底部弹幕,中,绿,1609145558,普通池,38a149c0,42993390129250307,泪爷这里是超炮，不要拿那么魔禁的剧本
423.571,底部弹幕,中,绿,1609145345,普通池,38a149c0,42993278078418949,这两都到不了LV5 天生的
381.993,底部弹幕,中,绿,1609145298,普通池,38a149c0,42993253807030277,54偏差挺大的了，那些说黑子结标秒一方的看着点
159.978,普通弹幕,中,白,1609137433,普通池,7b3d77a4,42989130054369283,哔哩哔哩干杯
156.996,普通弹幕,中,蓝,1609131096,普通池,280eba1,42985807820619781,哔哩哔哩
1206.482,底部弹幕,中,黄,1609130693,普通池,8ca46a0c,42985596527837189,动作指导:安德
1188.062,普通弹幕,中,白,1609129718,普通池,d7c27d06,42985085048717317,动作指导：宇智波止水
1125.762,普通弹幕,中,白,1609129562,普通池,d7c27d06,42985003163844611,蝎老爷快跑啊，不然迪达拉跟阿飞了，
181.88,普通弹幕,中,红,1609125985,普通池,7c99f6fa,42983128243372039,哔哩哔哩( ゜- ゜)つロ乾杯
200.319,普通弹幕,中,白,1609124154,普通池,454a8504,42982168074387461,哔哩哔哩-(゜-゜)つロ乾杯~
181.959,普通弹幕,中,白,1609124134,普通池,454a8504,42982157577617411,干杯
900.201,普通弹幕,中,白,1609123125,普通池,72c39004,42981628850995203,。。。。
1251.289,普通弹幕,中,白,1609119832,普通池,7bfb32f0,42979902079631367,劫匪 危
285.811,底部弹幕,中,红,1609117609,普通池,6d92f785,42978736637739015,炊事班别说了，警卫连都看到了
869.393,普通弹幕,中,白,1609096148,普通池,fd863dd,42967484965322759,军火库好家伙
534.596,普通弹幕,中,白,1609092996,普通池,b5253463,42965832460402695,上升气流准备就绪
49.309,普通弹幕,中,白,1609090219,普通池,d0a8a0b1,42964376304484355,梦最初的地方
57.929,普通弹幕,中,白,1609089212,普通池,fd651d0d,42963848329166853,ooo
196.986,普通弹幕,中,黄,1609086671,普通池,e38a1308,42962516406435843,哔哩哔哩
180.004,普通弹幕,中,白,1609083501,普通池,3af020e3,42960854256189447,哔哩哔哩 - ( ゜- ゜)つロ 乾杯~
737.681,普通弹幕,中,白,1609082080,普通池,655ec47a,42960109152763907,233
170.421,普通弹幕,中,白,1609081951,普通池,12afba16,42960041416851463,哔哩哔哩 - ( ゜- ゜)つロ 乾杯
