视频内弹幕出现时间,弹幕类型,弹幕字号,弹幕颜色,弹幕发送时间,弹幕池类型,发送者UID的HASH,弹幕dmID,弹幕内容
1266.993,普通弹幕,中,白,1532707188,0,6ce1b85b,2917669711904768,官方吐槽
1249.194,普通弹幕,中,白,1532707160,0,6ce1b85b,2917655314956356,混混快跑啊
1206.735,普通弹幕,中,白,1532707063,0,e1ead859,2917604437524484,神威！！
1126.193,普通弹幕,中,白,1532707030,0,6ce1b85b,2917586713968644,小混混快跑
1122.113,普通弹幕,中,白,1532707016,0,6ce1b85b,2917579703713796,混混快跑啊
677.532,普通弹幕,中,白,1532706948,0,1b43a557,2917543875444736,泪爷是我的
1076.608,普通弹幕,中,白,1532706945,0,6ce1b85b,2917542162595840,好大的嘴巴
640.651,普通弹幕,中,白,1532706906,0,1b43a557,2917522061393924,伏笔
1001.883,普通弹幕,中,白,1532706851,0,6ce1b85b,2917493098151936,表情大亮
543.993,普通弹幕,中,白,1532706799,0,1b43a557,2917466047512576,LV10的能力者，能力为上升气流
18.004,底部弹幕,中,蓝,1532706720,0,905cd98b,2917424572137476,顶端谁不会
938.335,普通弹幕,中,白,1532706546,0,6ce1b85b,2917333270003714,光速打脸现场
42.661,底部弹幕,中,蓝,1532706516,0,5825f35a,2917317641502724,从魔禁过来的
326.406,普通弹幕,中,白,1532706511,0,1b43a557,2917314819784708,这是妹妹的单向百合。。
740.061,普通弹幕,中,白,1532706444,0,c612ce9a,2917279491686400,黑子的声线好像白夜叉！
243.827,普通弹幕,中,白,1532706408,0,1b43a557,2917260838043648,夹击馒头
803.095,普通弹幕,中,白,1532706399,0,6ce1b85b,2917255894532096,看见了
776.875,普通弹幕,中,白,1532706362,0,6ce1b85b,2917236670988288,橘里橘气
1246.06,普通弹幕,中,红,1532706339,0,1af43a5b,2917224466612224,生前是个体面人
1414.544,普通弹幕,中,白,1532706153,0,ad92473b,2917126932791300,渣闪渣闪
623.655,普通弹幕,中,白,1532706147,0,6ce1b85b,2917124138860548,百合番吗
577.175,普通弹幕,中,白,1532706095,0,6ce1b85b,2917096598536196,我们互相看吧如何
