视频内弹幕出现时间,弹幕类型,弹幕字号,弹幕颜色,弹幕发送时间,弹幕池类型,发送者UID的HASH,弹幕dmID,弹幕内容
21.054,底部弹幕,中,红,1598111874,0,127883a2,37208562009636871,小混混快走，前面可是地狱啊
791.951,普通弹幕,中,白,1598111547,0,d5b29613,37208390518177799,哈哈哈
1177.293,普通弹幕,中,白,1598111546,0,bd2a148c,37208389880643587,里百八式大蛇薙！
690.919,普通弹幕,中,白,1598110990,0,37ebaedd,37208098426322951,所以男主咋还不出来
179.667,普通弹幕,中,白,1598110806,0,e683c13c,37208002063761413,哔哩哔哩
488.39,普通弹幕,中,白,1598110791,0,37ebaedd,37207993868091395,山治觉得很赞
158.411,普通弹幕,中,白,1598110610,0,3e17b71f,37207899049558021,永远不会跳的op
342.15,普通弹幕,中,白,1598110600,0,37ebaedd,37207893823979523,敢问是女子学院？
177.939,普通弹幕,中,白,1598109637,0,8aece6d9,37207389051027459,众所周知op只会看一次
62.652,普通弹幕,中,白,1598109453,0,980f9c05,37207292717826053,线性代数
82.204,普通弹幕,中,白,1598108972,0,9b82c8a9,37207040499122183,设计非常的银杏
1443.478,普通弹幕,中,白,1598108938,0,e2256945,37207022327300101,上一个无敌的已经被削成超级兵了
743.021,普通弹幕,中,白,1598108889,0,40702e54,37206996989509637,想看男主的去看某科学的一拳教主当麻
1320.72,普通弹幕,中,白,1598108640,0,c7f11eb9,37206866279268357,老娘真帅
256.002,普通弹幕,中,蓝,1598108593,0,bc60055d,37206841701171207,魔禁是教主的主线，超炮是炮姐的主线，先看哪个无所谓，只不过两部番相互补细节
170.002,普通弹幕,中,白,1598107759,0,9a526eb9,37206404335927299,爷回清
63.139,普通弹幕,中,白,1598107702,0,b3d5086a,37206374371295239,宝宝八士
24.759,普通弹幕,中,白,1598107085,0,d0a4bf47,37206051012476931,小混混一路走好
248.828,普通弹幕,小,青,1598106181,0,47267cc5,37205577260597251,.....
235.43,普通弹幕,中,粉,1598106156,0,47267cc5,37205563804221445,哔哩哔哩-(゜-゜)つロ乾杯
18.234,普通弹幕,中,白,1598106101,0,4884d6fe,37205535282954245,360P，以毒攻毒
1242.614,普通弹幕,中,红,1598105821,0,6fe7ca1d,37205388104826885,危危危
162.962,普通弹幕,中,白,1598105672,0,6dfbaf72,37205310350295043,想看一方大爷
578.684,普通弹幕,中,白,1598105633,0,f306075a,37205289591635973,桃之助必死
104.424,普通弹幕,中,白,1598105605,0,6dfbaf72,37205275295875079,贝蒂唉
148.626,普通弹幕,中,白,1598105527,0,82decbb9,37205233971494919,bilbil干杯
1277.221,普通弹幕,中,白,1598105409,0,917fc4ce,37205172058849287,下次一定
495.521,普通弹幕,中,白,1598105261,0,917fc4ce,37205094969114629,aaa
764.789,普通弹幕,中,白,1598105044,0,6fe7ca1d,37204980682719237,哈哈哈，公开处刑
326.298,普通弹幕,中,白,1598104845,0,7b5d8885,37204876422807621,这是致敬卓别林吧
47.314,普通弹幕,中,白,1598104736,0,9010766c,37204819373981703,画质感人
205.832,普通弹幕,中,白,1598104586,0,c64a5563,37204740729208837,哔哩哔哩哔哩
1310.552,普通弹幕,中,白,1598104304,0,8c80c274,37204592938713093,愿天堂没有硬币
1379.184,普通弹幕,中,红,1598103976,0,ad2a32e,37204420752048131,众所周知这是一部后宫番
1387.715,普通弹幕,中,白,1598103942,0,fbf4c149,37204403304267779,上一个无敌的还在太空中停止思考
1240.547,普通弹幕,中,红,1598103811,0,ad2a32e,37204334463156227,高能预警
1099.34,普通弹幕,中,白,1598103783,0,6335eb65,37204319608504327,白白
254.393,普通弹幕,中,白,1598103655,0,bb52ee5a,37204252522184709,贝蒂啊
974.795,普通弹幕,中,红,1598103654,0,ad2a32e,37204252099608581,上条当妈哈哈
940.299,普通弹幕,中,红,1598103597,0,ad2a32e,37204222469472259,哈哈哈哈
918.031,普通弹幕,中,红,1598103575,0,ad2a32e,37204210785189955,教主的？？！！！
194.025,普通弹幕,中,白,1598103572,0,888948c2,37204208969580549,bilibili- ( ゜- ゜)つロ 乾杯~
730.199,普通弹幕,中,红,1598103297,0,ad2a32e,37204064825507845,高能预警
710.608,普通弹幕,中,红,1598103277,0,ad2a32e,37204054574104583,魔禁都没有泪爷吧
683.791,普通弹幕,中,红,1598103250,0,ad2a32e,37204040501166083,没看剧本
191.619,底部弹幕,中,青,1598103159,0,603b07ab,37203992431820805,哔哩哔哩干杯
