视频内弹幕出现时间,弹幕类型,弹幕字号,弹幕颜色,弹幕发送时间,弹幕池类型,发送者UID的HASH,弹幕dmID,弹幕内容
180.004,普通弹幕,中,白,1609083501,0,3af020e3,42960854256189447,哔哩哔哩 - ( ゜- ゜)つロ 乾杯~
737.681,普通弹幕,中,白,1609082080,0,655ec47a,42960109152763907,233
170.421,普通弹幕,中,白,1609081951,0,12afba16,42960041416851463,哔哩哔哩 - ( ゜- ゜)つロ 乾杯
35.027,普通弹幕,中,白,1609081573,0,55a7428f,42959843553181701,某种意义上来说，小混混在学园都市是弱势群体。
750.621,底部弹幕,中,蓝,1609080400,0,e7434f85,42959228259270663,真·一个敢写一个敢读
729.949,普通弹幕,中,蓝,1609080312,0,e7434f85,42959181995048965,老七主要是不咋喜欢动脑 憨憨的
605.662,普通弹幕,中,蓝,1609080127,0,e7434f85,42959085436403719,恒温死神能力再强一点就无敌了好吧
602.422,普通弹幕,中,青,1609080105,0,e7434f85,42959073480540163,越狱篇超神了好吧
219.986,普通弹幕,中,绿,1609079634,0,ae9d245,42958826579165187,哔哩哔哩(゜-゜)つロ乾杯~
274.58,普通弹幕,中,红,1609077767,0,52d012ab,42957847892328453,危险
267.668,普通弹幕,小,红,1609077725,0,52d012ab,42957826146435079,哔哩哔哩( ゜- ゜)つロ乾杯
190.868,普通弹幕,中,白,1609077636,0,52d012ab,42957779407208453,哔哩哔哩( ゜- ゜)つロ乾杯
184.639,普通弹幕,中,白,1609077623,0,52d012ab,42957772444663813,哔哩哔哩( ゜- ゜)つロ乾杯
53.396,底部弹幕,中,红,1609076623,0,40c336ef,42957248140410883,如何投掷大伊万
1109.718,普通弹幕,中,白,1609075839,0,d81d37a5,42956837157339141,动作指导：乔鲁诺·乔巴纳
324.401,普通弹幕,中,黄,1609075395,0,7bfb32f0,42956604411740167,检查哪里？
256.063,普通弹幕,中,白,1609075208,0,90783c8,42956506381942789,爱哇、w
229.544,底部弹幕,中,绿,1609075098,0,240e6515,42956448564510725,能力者的等级也是在这里
806.997,普通弹幕,中,白,1609073508,0,a2feeea4,42955615027331077,这是百合剧吗？！
526.608,普通弹幕,中,白,1609073224,0,a2feeea4,42955466152083461,看来黑子是个lsp了
311.218,普通弹幕,中,白,1609072992,0,a2feeea4,42955344372039687,这咋一下子上去了
132.609,普通弹幕,中,白,1609072586,0,db9e241,42955131479654407,准备！！！！！！！？
650.462,普通弹幕,中,白,1609072105,0,ab464494,42954879253086215,好可爱好可爱
679.586,普通弹幕,中,白,1609070416,0,b7207f4a,42953994132783107,其实这是河马早期当时想给美琴的人设
532.462,普通弹幕,中,黄,1609070108,0,4ab1e615,42953832299233285,前方LV 6上升气流
513.182,普通弹幕,中,黄,1609070067,0,4ab1e615,42953810965430275,lsp
513.182,普通弹幕,中,黄,1609070058,0,4ab1e615,42953806195458051,lsp
450.742,普通弹幕,中,红,1609069961,0,4ab1e615,42953755571257349,明示投币
427.314,普通弹幕,中,白,1609069912,0,4ab1e615,42953729445986311,菲律宾炸鱼队
132.719,普通弹幕,中,白,1609069877,0,9557e6db,42953711178219525,欧尼撒嘛！
328.974,普通弹幕,中,白,1609069790,0,4ab1e615,42953665753907205,六亲不认的步伐
262.974,普通弹幕,中,白,1609067793,0,6e526f10,42952618476568579,众所周知，炮姐是热心市民。
64.619,底部弹幕,中,青,1609066519,0,3d8b692b,42951950740226055,梦开始的地方
381.594,普通弹幕,中,白,1609063070,0,f3b5b689,42950142258053127,婚后一血
196.579,普通弹幕,中,白,1609062833,0,f3b5b689,42950017945174019,婚后一血
79.6,普通弹幕,中,白,1609062707,0,f3b5b689,42949952256606213,脸打的好及时（滑稽）
1187.654,普通弹幕,中,白,1609060904,0,8511c5de,42949006989983749,超能力指导：友利奈绪
465.121,底部弹幕,中,黄,1609057440,0,76fb0267,42947190734716933,天冷了，进来坐坐
1241.378,普通弹幕,中,深蓝,1609057284,0,8a555628,42947109103075331,下辈子注意点
1183.56,普通弹幕,中,深蓝,1609057226,0,8a555628,42947078755188741,动作指导：波风水门
1012.543,普通弹幕,中,红,1609057019,0,8a555628,42946970018906115,LV6失去了梦想
