视频内弹幕出现时间,弹幕类型,弹幕字号,弹幕颜色,弹幕发送时间,弹幕池类型,发送者UID的HASH,弹幕dmID,弹幕内容
1111.313,普通弹幕,中,白,1552836795,0,cbe209b6,13471381378826244,这是日常番
170.681,普通弹幕,中,红,1552836389,0,d3f9bc3a,13471168373719040,哈哈哈没卡
815.23,普通弹幕,中,白,1552835983,0,f02bdb5e,13470955289444352,白合塞高
155.162,普通弹幕,中,白,1552835879,0,eb06d454,13470901050277890,QAQ画质感人
214.981,普通弹幕,中,白,1552835212,0,c2dd4151,13470551274684416,表示很舒服
99.583,普通弹幕,中,白,1552832488,0,d974825e,13469123073277956,抱走黑子
1171.257,普通弹幕,中,白,1552831552,0,2d501725,13468632432508928,火拳艾斯
1238.377,普通弹幕,中,白,1552831479,0,e3f4cb83,13468593957109760,装甲蝎01请求出站
1075.717,普通弹幕,中,白,1552831447,0,2d501725,13468577556856832,老崔开炮
949.817,普通弹幕,中,白,1552831296,0,2d501725,13468498191187972,暴力
1335.672,普通弹幕,中,白,1552830380,0,cf84be51,13468017849532416,看见没有，一个硬币是多么恐怖，大家还是不要投币了[手动滑稽]
1110.36,底部弹幕,中,白,1552829334,0,b155ec60,13467469674446848,什么劫匪非要在满城超能力者的城市抢银行啊!
637.194,普通弹幕,中,白,1552828660,0,994223f3,13467116341559300,法克。玛德玛德玛德。
782.497,普通弹幕,中,白,1552825236,0,aab39cfa,13465320911011844,去宾馆？百合么
618.32,底部弹幕,中,红,1552824542,0,a0a9a975,13464957082927108,俺也一样
343.124,普通弹幕,中,红,1552823495,0,69f491a7,13464407922704388,常盘台是女子学院啊。。。（解答）
110.848,普通弹幕,中,白,1552821962,0,ffa15fc7,13463604613349378,黑琴一生推
556.187,普通弹幕,中,白,1552821886,0,389e51c7,13463564713984004,全体脸红
1431.687,底部弹幕,中,黄,1552821684,0,6c92220f,13463458514731012,看魔禁的时候一脸懵，原来爹妈飞在这
776.724,普通弹幕,中,青,1552821125,0,ef75999f,13463165417291778,百合……
943.234,底部弹幕,中,蓝,1552820624,0,6c92220f,13462902802481152,境泽定律
471.098,底部弹幕,中,蓝,1552819942,0,6c92220f,13462545608736768,哦耶！
