视频内弹幕出现时间,弹幕类型,弹幕字号,弹幕颜色,弹幕发送时间,弹幕池类型,发送者UID的HASH,弹幕dmID,弹幕内容
633.664,普通弹幕,中,红,1563033570,0,6c98b366,18817428072955904,西卡罗！爹神在上，不准在学园都市卖盘！
1008.59,普通弹幕,中,白,1563033560,0,9104deb4,18817422637137920,当场去世
99.84,普通弹幕,中,白,1563032874,0,6c98b366,18817063200489472,野生变态！
1253.336,普通弹幕,中,白,1563032226,0,5117066,18816723276791808,一路好走
952.248,普通弹幕,中,白,1563031925,0,5117066,18816565423112192,daisiki
801.464,普通弹幕,中,白,1563031774,0,5117066,18816486388269056,承包黑子
715.299,普通弹幕,中,白,1563031310,0,b3921944,18816242895814656,。。
518.614,普通弹幕,中,白,1563030943,0,c4599301,18816050873761796,这糟糕的姿势
4.507,普通弹幕,中,白,1563030915,0,e4bad401,18816035783704578,百合吗
1232.181,普通弹幕,中,白,1563030763,0,640660d8,18815956469940224,兄dei，活着不好吗
1329.844,普通弹幕,中,白,1563030760,0,49a8f875,18815954569920512,杨教授怎么穿女装了
128.425,普通弹幕,中,白,1563030529,0,92f9c5cc,18815833670680578,画面真美
1095.171,普通弹幕,中,绿,1563030525,0,49a8f875,18815831534206976,夹击妹抖
78.251,普通弹幕,中,白,1563030479,0,92f9c5cc,18815807393366018,超炮
565.87,普通弹幕,中,红,1563030374,0,2bb934fd,18815752590065666,自带花环
911.765,普通弹幕,中,白,1563030342,0,49a8f875,18815735392894980,呱太
866.828,普通弹幕,中,白,1563030297,0,49a8f875,18815711828770816,好听吗
133.328,底部弹幕,中,白,1563030275,0,ec5d7527,18815700349485056,可以吃了
787.316,普通弹幕,中,橙,1563030217,0,49a8f875,18815670121136132,橘里橘气
728.236,普通弹幕,中,白,1563030158,0,49a8f875,18815639160881154,夹击妹抖
669.716,普通弹幕,中,白,1563030100,0,49a8f875,18815608466964482,一方呢
162.521,普通弹幕,中,白,1563030081,0,26fa08e1,18815598811676674,按住胸口起立
633.684,普通弹幕,中,白,1563030063,0,49a8f875,18815589585256448,0的才是最强的
496.812,普通弹幕,中,黄,1563029927,0,49a8f875,18815517817569284,万恶的玻璃
388.911,普通弹幕,中,白,1563029819,0,49a8f875,18815461260525572,夹击妹抖
282.717,普通弹幕,中,白,1563029713,0,49a8f875,18815405579042820,安全裤
218.261,普通弹幕,中,白,1563029648,0,49a8f875,18815371790778368,明示投币
15.302,普通弹幕,中,白,1563029445,0,49a8f875,18815265379188736,开始复习
1104.064,普通弹幕,中,红,1563029142,0,922f327f,18815106228944898,夹击妹抖
887.731,普通弹幕,中,白,1563028713,0,95ff8ca9,18814881436270592,话说这里边有小炮儿吗？
652.595,普通弹幕,中,白,1563028340,0,62860078,18814685717463044,阿珍爱上了阿强
940.191,普通弹幕,中,绿,1563027979,0,de24fad0,18814496752009216,打脸现场
872.751,普通弹幕,中,绿,1563027903,0,de24fad0,18814456930762752,呱太~
943.971,普通弹幕,中,白,1563027798,0,fc88d836,18814401678147586,瞬间打脸
793.726,底部弹幕,中,绿,1563027223,0,c5afde43,18814100122894340,前方高能
511.98,普通弹幕,中,白,1563027117,0,df181fed,18814044874473476,原来女生是这样的
181.48,普通弹幕,中,红,1563026986,0,de24fad0,18813976260378624,Fripside！
172.16,普通弹幕,中,红,1563026950,0,de24fad0,18813957340921858,Fripeside！
813.844,普通弹幕,中,白,1563026945,0,9fdee4da,18813954419064834,好听吗，好听就是好脑壳
150.163,普通弹幕,中,白,1563026934,0,df733fa3,18813948858990594,希灵帝国
166.64,普通弹幕,中,红,1563026923,0,de24fad0,18813942903078978,致敬
764.051,底部弹幕,中,白,1563026912,0,f2338cb0,18813937185718272,nbnb
757.374,底部弹幕,中,白,1563026903,0,f2338cb0,18813932410503172,名场面
8.679,普通弹幕,中,白,1563026830,0,efbdd6ec,18813894532268036,还是说
419.815,普通弹幕,中,白,1563026803,0,3f7f2058,18813879968595972,贝蒂
507.455,底部弹幕,中,白,1563026669,0,f2338cb0,18813809950457856,明明不是这样的
502.634,底部弹幕,中,白,1563026656,0,f2338cb0,18813803154112512,缩小了
466.175,底部弹幕,中,白,1563026611,0,f2338cb0,18813779481985028,上面的眼睛真好使
948.966,普通弹幕,中,黄,1563025905,0,2c576379,18813409109213184,电速打脸
876.422,普通弹幕,中,白,1563025817,0,2c576379,18813363219333120,UMR
566.801,普通弹幕,中,白,1563025713,0,b560969e,18813308820258816,哦，有不少看希灵帝国的啊
579.19,普通弹幕,中,白,1563025509,0,2c576379,18813201503223812,这糟糕的台词
1127.722,普通弹幕,中,白,1563024448,0,738b05d9,18812645669339140,走好
564.5,普通弹幕,中,白,1563024362,0,e18d78c4,18812600392876036,完事的表情
265.338,普通弹幕,中,白,1563024037,0,c9ba61f,18812430036500484,这是魔禁的外传啊
17.897,普通弹幕,中,白,1563023366,0,1dbb1ee7,18812078040023042,bilibili
889.338,普通弹幕,中,白,1563022802,0,93cd752c,18811782239879168,军火库2333
672.819,普通弹幕,中,白,1563022218,0,33f20b16,18811476363444224,没有就是一方大爷也没有上条教主高
1040.721,普通弹幕,中,白,1563022107,0,813a1bd7,18811417879642114,可丽饼是甜食范围
786.457,普通弹幕,中,白,1563022096,0,fe1005c6,18811412077871104,路.黑子.飞
764.295,普通弹幕,中,白,1563022034,0,fe1005c6,18811379645415424,橘里橘气
961.539,普通弹幕,中,白,1563021972,0,7f03b515,18811347080839168,23333
788.657,普通弹幕,中,白,1563021885,0,7f03b515,18811301762433024,2333
248.621,普通弹幕,中,白,1563021712,0,282ec9ff,18811211168612354,声音好可爱啊
1240.385,普通弹幕,中,白,1563021704,0,95bb37de,18811206658686976,前方高能
26.646,普通弹幕,中,白,1563021654,0,56a9f1d,18811180440092672,走好
1170.934,普通弹幕,中,白,1563021620,0,f8cd8987,18811162523074560,那森刚
470.682,普通弹幕,中,白,1563021552,0,fe1005c6,18811127224860674,前方高能预警
1323.657,普通弹幕,中,白,1563021533,0,1a23992c,18811117260767236,还活着，奇迹
1248.297,普通弹幕,中,白,1563021458,0,1a23992c,18811077760385026,壮士慢行
917.378,普通弹幕,中,白,1563021103,0,96f67efd,18810891922833410,高能
1158.441,普通弹幕,中,白,1563020966,0,af24849f,18810819887235072,的吗
419.561,普通弹幕,中,白,1563020891,0,813a1bd7,18810780403630080,七人LV5，当麻面前都是战五渣
938.769,普通弹幕,中,白,1563020632,0,1a23992c,18810644604125186,甚香，甚香
782.461,普通弹幕,中,白,1563019850,0,dc7f9fb2,18810234877771778,橘里橘气
907.283,普通弹幕,中,白,1563019681,0,4e81b376,18810146150940674,贝蒂
1246.48,底部弹幕,中,白,1563019567,0,c10e77ab,18810086467043328,壮士，一路走好
1179.861,普通弹幕,中,白,1563019459,0,293fd733,18810029692420096,草稚京
897.7,普通弹幕,中,白,1563019185,0,c10e77ab,18809886300700674,一平如洗
6.058,普通弹幕,中,白,1563019175,0,b6885a91,18809880997527554,青蛙
1376.725,普通弹幕,中,白,1563019021,0,f1e89b44,18809800214183936,应该叫欧巴桑
1175.798,普通弹幕,中,白,1563019006,0,3347b52f,18809792067796992,鬼火少年
272.914,普通弹幕,中,白,1563018914,0,f7e6ea29,18809743801319424,贩卖机快跑！
518.441,普通弹幕,中,白,1563018037,0,f020ba7,18809284064706560,翻译不一样了
1203.352,普通弹幕,中,白,1563018021,0,b4637133,18809276017934336,无限针
1000.451,普通弹幕,中,白,1563017844,0,4f5cd3df,18809183226298368,龙王出狱了？
14.988,普通弹幕,中,白,1563017667,0,957e70dd,18809090056650752,十年前
736.999,普通弹幕,中,黄,1563017648,0,b0fda51d,18809080451170308,Van
1474.247,普通弹幕,中,白,1563017473,0,d84b29ae,18808988463267844,好好听啊
1103.577,普通弹幕,中,黄,1563017286,0,67c83112,18808890447101956,白的是类似于安全裤之类的。可惜
536.127,普通弹幕,中,白,1563016625,0,2aadecf1,18808544078856192,泪爷
623.6,普通弹幕,中,白,1563015478,0,dc62b67,18807942498222080,D级人员
20.381,普通弹幕,中,白,1563015138,0,d7019767,18807764205174784,活着不好么
48.839,普通弹幕,中,白,1563014601,0,6370ed32,18807482806697986,前方花式打脸
772.033,普通弹幕,中,白,1563014174,0,7cbb8e93,18807259032190980,真。百合
119.174,普通弹幕,中,白,1563014139,0,ebffc7fe,18807240377499650,黑子啊啊啊，果然是跟贝蒂一样的声优，超喜欢这声线
24.601,普通弹幕,中,白,1563014044,0,ebffc7fe,18807190790864900,考古考古
1280.481,普通弹幕,中,白,1563013600,0,3184d1b0,18806957981302786,一方呢……
512.681,普通弹幕,中,白,1563012989,0,c93308d9,18806637770833920,awsl
1082.03,普通弹幕,中,白,1563012726,0,9e6fdf94,18806499552264194,婚后光子算了吧。。。还是小蜜蜂比较好
1273.041,普通弹幕,中,白,1563012695,0,bd6ccd40,18806483375882240,硬吹一波
1143.281,普通弹幕,中,白,1563012558,0,bd6ccd40,18806411716198404,恶人保护协会强烈谴责
33.521,普通弹幕,中,白,1563012297,0,3184d1b0,18806275068919812,一方通行呢？
1098.581,普通弹幕,中,白,1563012087,0,39de428,18806164877737988,一方大爷不在？
55.92,普通弹幕,中,白,1563012031,0,6dff962f,18806135464132608,波纹疾走
938.294,普通弹幕,中,白,1563011986,0,d46cedd5,18806111550832704,嘴上说不要，身体却很老实
503.944,普通弹幕,中,白,1563011594,0,1818c298,18805906400083972,这不是古时候妈妈桑的台词吗？
99.158,普通弹幕,中,白,1563011338,0,1d12dc4b,18805772143558660,夹击妹抖
291.861,普通弹幕,中,白,1563011070,0,77f05339,18805631241158660,官方吐槽
1259.037,普通弹幕,中,红,1563010965,0,ef5db958,18805576332476416,开大了233
271.529,普通弹幕,中,白,1563010714,0,caa3604f,18805444819025924,那么久画质还那么好
783.829,底部弹幕,中,蓝,1563010563,0,12feca05,18805365586001924,别了别了，美琴是某上条的
460.906,底部弹幕,中,蓝,1563010355,0,12feca05,18805256781037570,用全力就炸了啊
136.894,底部弹幕,中,黄,1563009956,0,9292287b,18805047275552768,噢!眼睛放电
512.344,普通弹幕,中,白,1563009377,0,e77181a,18804743971274752,万恶的浴衣
288.642,普通弹幕,中,白,1563008510,0,db37bdc8,18804289129938946,妹妹好评
812.736,普通弹幕,中,白,1563008391,0,18324c68,18804226907963392,这番……有男的不……
166.569,普通弹幕,中,红,1563008309,0,fe5b5948,18804183775313924,某boy已盗
1274.884,普通弹幕,中,白,1563007881,0,af439643,18803959640096768,一路走好
1216.853,底部弹幕,中,蓝,1563007682,0,940b18d4,18803855048835074,泪子很像主角呀
130.515,普通弹幕,中,白,1563007003,0,740b6162,18803499188355076,可爱www
113.747,普通弹幕,中,白,1563006982,0,740b6162,18803488158384130,黑子啊
351.306,普通弹幕,中,白,1563006713,0,eb8159e7,18803346988597248,女校当然都是女的啦
190.037,底部弹幕,中,蓝,1563006585,0,940b18d4,18803280213704704,魔禁是这个的前身
1139.569,普通弹幕,中,白,1563005941,0,f264278,18802942174822402,求强盗视角
1486.538,普通弹幕,中,白,1563005848,0,fbda9125,18802893605306370,同意男主是黑子
593.803,普通弹幕,中,白,1563005368,0,f264278,18802642011029508,鸡腿鸡腿
568.942,普通弹幕,中,白,1563005335,0,f264278,18802624807043074,好呀好呀
470.66,普通弹幕,中,白,1563005208,0,f264278,18802558318936064,摄影师加鸡腿！
290.925,普通弹幕,中,白,1563004943,0,f264278,18802419338575872,官方吐槽
279.469,普通弹幕,中,白,1563004920,0,f264278,18802407331332096,万恶安全裤
442.754,普通弹幕,中,白,1563004250,0,6ea5344e,18802055686651904,二马赫以上！那样会有音爆！估计得聋
395.754,普通弹幕,中,白,1563004057,0,6ea5344e,18801954601304064,最高是LEVEL6
71.607,普通弹幕,中,白,1563003990,0,2b14293f,18801919613468672,最安全的都市哈哈哈
217.252,普通弹幕,中,白,1563003320,0,6ea5344e,18801568228835330,信じてよ  あの日の誓を
200.109,普通弹幕,中,白,1563002733,0,6ea5344e,18801260714000386,Only my RAILGUN can shoot it.今すぐ
1246.398,普通弹幕,中,白,1563002693,0,b2c58ddf,18801239315709952,为壮士点根蜡
635.19,普通弹幕,中,白,1563002593,0,61e21211,18801186987048960,辣妹儿
